品番,商品名_JA,商品名_KO,用途_JA,メリット_JA,用途_KO,メリット_KO,韓国眼鏡店への販売価格（KRW）,通貨,入数,カタログ参照,画像ファイル名,商品ページURL
309,ツーポイントナット廻し,무테 투포인트너트 드라이버,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,1800,KRW,,カタログP.162,309_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=309
309-A,ツーポイントナット廻し 100本入 ケース付き,무테 투포인트너트 드라이버 100개 케이스포함,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,176000,KRW,100本,カタログP.162,309-A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=309-A
310-1,アフターケア(3本入)1個,(3개)1,簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,3200,KRW,3本,カタログP.163,310-1_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=310-1
310,アフターケアセット(3本入×60個入),애프터케어 세트(3개×60개),簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,187700,KRW,3本,カタログP.163,310_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%a2%e3%83%95%e3%82%bf%e3%83%bc%e3%82%b1%e3%82%a2%e3%82%bb%e3%83%83%e3%83%88%e2%8a%95%e2%8a%96%e3%83%8a%e3%83%83%e3%83%88%e5%bb%bb%e3%81%97%e3%83%bb3%e6%9c%ac%e5%85%a5%e3%82%8a/
310-S,アフターケアセット(3本入×20個入),애프터케어 세트(3개×20개),簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,64500,KRW,3本,カタログP.163,310-S_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=310-S
311,ピンバイス,핀 바이스,作業台・加工補助,小部品作業を安定させやすい,작업대 및 가공 보조,작은 부품 작업을 안정시키기 쉬움,40800,KRW,,カタログP.210,311_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%94%e3%83%b3%e3%83%90%e3%82%a4%e3%82%b9/
312-2,シリコンパットDX 大,실리콘코받침DX 대,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,51000,KRW,1ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-2
312-4,シリコンパットDX 小,실리콘코받침DX 소,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,51000,KRW,1ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-4
312-5,シリコンパットDX 極小,실리콘코받침DX 초소형,鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,51000,KRW,1ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-5
312-A-2-G,シリコンパットDX 大 金(50ペア入),실리콘코받침DX 대 골드(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-2-G
312-A-2-W,シリコンパットDX 大 銀(50ペア入),실리콘코받침DX 대 실버(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-2-W
312-A-4-G,シリコンパットDX 小 金(50ペア入),실리콘코받침DX 소 골드(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-4-G
312-A-4-W,シリコンパットDX 小 銀(50ペア入),실리콘코받침DX 소 실버(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-4-W
312-A-5-G,シリコンパットDX 極小 金(50ペア入),실리콘코받침DX 초소형 골드(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-5-G
312-A-5-W,シリコンパットDX 極小 銀(50ペア入),실리콘코받침DX 초소형 실버(50쌍입),鼻パッド交換・調整,当たりと掛け心地を整えやすい,코패드 교체 및 조정,맞닿는 느낌과 착용감을 조정하기 쉬움,144500,KRW,50ペア,カタログP.83,,https://www.san-nishimura.co.jp/product/item/?key_word=312-A-5-W
313,シリコンモダンDXセット,실리콘팁DX세트,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,51000,KRW,,カタログP.73,313_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=313
313-BK,シリコンモダンDXセット(ブラック),실리콘팁DX세트(블랙),モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,51000,KRW,,,313-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=313-BK
313-BR,シリコンモダンDXセット(ブラウン),실리콘팁DX세트(브라운),モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,51000,KRW,,,313-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=313-BR
315,ジュニアケーブルセット,케이블세트,ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,5ペア,カタログP.73,315_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315
315-B,ジュニアケ-ブルFセット(ブルー),- F세트(블루),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-B_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-B
315-BE,ジュニアケ-ブルFセット(ベージュ),- F세트(베이지),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-BE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-BE
315-BK,ジュニアケ-ブルFセット(ブラック),- F세트(블랙),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-BK
315-BR,ジュニアケ-ブルFセット(ブラウン),- F세트(브라운),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-BR
315-GL,ジュニアケ-ブルFセット(グレー),- F세트(그레이),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-GL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-GL
315-GR,ジュニアケ-ブルFセット(グリーン),- F세트(그린),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-GR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-GR
315-NB,ジュニアケ-ブルFセット(ネイビー),- F세트(네이비),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-NB_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-NB
315-R,ジュニアケ-ブルFセット(エンジ),- F세트(),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-R_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-R
315-RE,ジュニアケ-ブルFセット(レッド),- F세트(레드),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-RE_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-RE
315-V,ジュニアケ-ブルFセット(バイオレット),- F세트(),ケーブルテンプル化,耳まわりの保持を高めやすい,케이블 템플 전환,귀 주변 고정을 높이기 쉬움,53000,KRW,,,315-V_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=315-V
323-BK,メガロックミニ ブラック,Mega잠금미니 블랙,ズレ落ち防止,日常の掛け心地を安定させやすい,흘러내림 방지,일상 착용감을 안정시키기 쉬움,54400,KRW,2ペア,カタログP.75,323-BK_1.png,https://www.san-nishimura.co.jp/product/item/%e3%83%a1%e3%82%ac%e3%83%ad%e3%83%83%e3%82%afm%e3%83%9f%e3%83%8b/
323-BR,メガロックミニ ブラウン,Mega잠금미니 브라운,ズレ落ち防止,日常の掛け心地を安定させやすい,흘러내림 방지,일상 착용감을 안정시키기 쉬움,54400,KRW,2ペア,カタログP.75,323-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a1%e3%82%ac%e3%83%ad%e3%83%83%e3%82%afm%e3%83%9f%e3%83%8b/
323-GR,メガロックミニ グリーン,Mega잠금미니 그린,ズレ落ち防止,日常の掛け心地を安定させやすい,흘러내림 방지,일상 착용감을 안정시키기 쉬움,54400,KRW,2ペア,カタログP.75,323-GR_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a1%e3%82%ac%e3%83%ad%e3%83%83%e3%82%afm%e3%83%9f%e3%83%8b/
325,ロックホルダー(ロウ付用),잠금홀더(포함),ロウ付け・加熱補修,必要箇所を固定・補修しやすい,납땜 및 가열 보수,필요한 부위를 고정·보수하기 쉬움,27400,KRW,,カタログP.235,325_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=325
329,IIPビット 2.5mm,IIP 2.5mm,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,3900,KRW,,カタログP.162,329_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%91%e3%83%83%e3%83%88%e3%82%bb%e3%83%83%e3%83%88g%e3%83%bbw/
332,サン消泡剤,소포제,レンズ加工環境の処理,清掃や設備管理を行いやすい,렌즈 가공 환경 처리,청소와 장비 관리를 하기 쉬움,50800,KRW,,カタログP.252,332_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%b5%e3%83%b3%e6%b6%88%e6%b3%a1%e5%89%a4/
333,サンハードナー,하드,レンズ加工くずの固化,清掃・廃棄をしやすくする,렌즈 가공 찌꺼기 고형화,청소와 폐기를 쉽게 함,39100,KRW,,カタログP.252,333_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%b5%e3%83%b3%e3%83%8f%e3%83%bc%e3%83%89%e3%83%8a%e3%83%bc/
335-B,ヤットコ,플라이어,レンズサイズ確認,レンズ合わせと検品を効率化しやすい,렌즈 사이즈 확인,렌즈 맞춤과 검품을 효율화하기 쉬움,74800,KRW,,"カタログP.133,171",335-B_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=335-B
335-1,No.335ヤットコ先プラスチック,No.335플라이어플라스틱 팁스틱,ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,335-1_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=335-1
336,ツーポネジ締め台,나사,ツーポイント固定・補修,寸法を合わせて外れを補修しやすい,무테 프레임 고정 및 보수,치수를 맞춰 이탈 부위를 보수하기 쉬움,185700,KRW,,カタログP.215,336_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%84%e3%83%bc%e3%83%9d%e3%83%8d%e3%82%b8%e7%b7%a0%e3%82%81%e5%8f%b0/
336-A,ドライバー先 +2.0mm,드라이버 +2.0mm,ネジ調整,日常修理をスムーズにしやすい,나사 조정,일상 수리를 원활하게 하기 쉬움,7800,KRW,1本,カタログP.215,336-A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=336-A
336-B,ドライバー先 -2.0mm,드라이버 -2.0mm,ネジ調整,日常修理をスムーズにしやすい,나사 조정,일상 수리를 원활하게 하기 쉬움,7800,KRW,,カタログP.215,336-B_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=336-B
336-C,六角ナット廻し 2.3mm,육각 너트 2.3mm,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,10900,KRW,,カタログP.215,336-C_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%84%e3%83%bc%e3%83%9d%e3%83%8d%e3%82%b8%e7%b7%a0%e3%82%81%e5%8f%b0/
336-D,六角ナット廻し 2.6mm,육각 너트 2.6mm,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,10900,KRW,4個,カタログP.215,336-D_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=336-D
336-E,六角ナット廻し 2.0mm,육각 너트 2.0mm,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,10900,KRW,4個,カタログP.215,336-E_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=336-E
336-F,ゴムパッキン(4個入),고무 (4개),機器部品交換・補修,機器を使い続けやすい,장비 부품 교체 및 보수,장비를 계속 사용하기 쉬움,3100,KRW,4個,カタログP.215,336-F_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=336-F
338-A,ヤットコ,플라이어,リム形状調整,レンズ合わせを安定させやすい,림 형상 조정,렌즈 맞춤을 안정시키기 쉬움,81600,KRW,,,,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3-338/
338-B,ヤットコ,플라이어,フレーム調整・部品保持,狙った部分を安定してつかみやすい,프레임 조정 및 부품 고정,원하는 부분을 안정적으로 잡기 쉬움,54400,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=338-B
339,鉄製ツーポナット廻し,철제 너트 드라이버,ナット締め外し,小さなナットを確実に扱いやすい,너트 조임 및 분리,작은 너트를 확실하게 다루기 쉬움,4900,KRW,300本,カタログP.162,339_1.jpg,https://www.san-nishimura.co.jp/product/item/%c2%b1redn-%e3%83%8d%e3%82%b8w-2/
343,サン消臭剤,탈취제,レンズ加工環境の処理,清掃や設備管理を行いやすい,렌즈 가공 환경 처리,청소와 장비 관리를 하기 쉬움,68400,KRW,,カタログP.252,343_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%b5%e3%83%b3%e6%b6%88%e8%87%ad%e5%89%a4/
344,ポリカ、ネジゆるみ止め,、나사풀림 방지,接着・ゆるみ止め,補修後の固定を安定させやすい,접착 및 풀림 방지,보수 후 고정을 안정시키기 쉬움,17600,KRW,,カタログP.263,344_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%9d%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8d%e3%82%b8%e3%82%86%e3%82%8b%e3%81%bf%e6%ad%a2%e3%82%81/
345-A,ゴム丈,고무,機器部品交換・補修,機器を使い続けやすい,장비 부품 교체 및 보수,장비를 계속 사용하기 쉬움,7800,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=345-A
348,小型ピンセット(ネジつかみ),소형핀셋(나사),小部品保持,細かな部品を落とさず扱いやすい,작은 부품 집기,작은 부품을 떨어뜨리지 않고 다루기 쉬움,35200,KRW,,カタログP.167,348_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%94%e3%83%b3%e3%82%bb%e3%83%83%e3%83%88-348/
350-1,アフターケアセット(2本入)1個,애프터케어 세트(2개)1,簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,2600,KRW,2本,カタログP.163,350-1_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=350-1
350,アフターケアセット(2本入×60個入),애프터케어 세트(2개×60개),簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,163200,KRW,2本,カタログP.163,350_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%a2%e3%83%95%e3%82%bf%e3%83%bc%e3%82%b1%e3%82%a2%e3%82%bb%e3%83%83%e3%83%88%e2%8a%95%e3%83%8a%e3%83%83%e3%83%88%e5%bb%bb%e3%81%97%e3%83%bb2%e6%9c%ac%e5%85%a5%e3%82%8a/
350-S,アフターケアセット(2本入×20個入),애프터케어 세트(2개×20개),簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,55800,KRW,2本,カタログP.163,350-S_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=350-S
351,ヤットコ,플라이어,テンプル開き調整,左右の開きと掛け心地を整えやすい,템플 벌어짐 조정,좌우 벌어짐과 착용감을 맞추기 쉬움,74800,KRW,,カタログP.137,351_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3351/
351-1,No.351ヤットコ先プラスチック,No.351플라이어플라스틱 팁스틱,ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=351-1
352,ヤットコ,플라이어,ブリッジ角度調整,前面バランスを整えやすい,브리지 각도 조정,전면 밸런스를 맞추기 쉬움,90100,KRW,,"カタログP.139,170,171",352_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3352/
352-P,ヤットコ(プレミアムライン),플라이어(프리미엄 라인),ブリッジ角度調整,前面バランスを整えやすい,브리지 각도 조정,전면 밸런스를 맞추기 쉬움,146200,KRW,,カタログP.139,352-P_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=352-P
352-1,No.352ヤットコ先プラスチック(凹),No.352플라이어플라스틱 팁스틱(오목),ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=352-1
352-2,No.352ヤットコ先プラスチック(凸),No.352플라이어플라스틱 팁스틱(볼록),ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=352-2
353-1,アフターケア(2本入)1個,(2개)1,簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,5700,KRW,2本,カタログP.163,353-1_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=353-1
353,アフターケアセット(2本入×60個入),애프터케어 세트(2개×60개),簡易メンテナンス提案,お渡し時の日常ケアを提案しやすい,간단한 애프터케어 제안,전달 시 일상 관리를 제안하기 쉬움,332400,KRW,2本,カタログP.163,353_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%a2%e3%83%95%e3%82%bf%e3%83%bc%e3%82%b1%e3%82%a2%e3%82%bb%e3%83%83%e3%83%88%e2%8a%95%e9%89%84%e8%a3%bd%e3%83%8a%e3%83%83%e3%83%88%e5%bb%bb%e3%81%97%e3%83%bb2%e6%9c%ac%e5%85%a5%e3%82%8a/
354,橙頭ドライバーナット廻し(六角),드라이버너트 드라이버(각형),ネジ調整,日常修理をスムーズにしやすい,나사 조정,일상 수리를 원활하게 하기 쉬움,18500,KRW,,"カタログP.151,171",354_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=354
354G,橙頭ドライバーナット廻し(六角)グリップ付,드라이버너트 드라이버(각형)그립포함,ネジ調整,日常修理をスムーズにしやすい,나사 조정,일상 수리를 원활하게 하기 쉬움,21400,KRW,,カタログP.151,354G_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=354G
356,ヤットコ,플라이어,鼻パッド角度調整,取付金具を安定してつかみやすい,코패드 각도 조정,장착 금구를 안정적으로 잡기 쉬움,74800,KRW,,"カタログP.131,170,171",,https://www.san-nishimura.co.jp/product/item/?key_word=356
356-P,ヤットコ(プレミアムライン),플라이어(프리미엄 라인),智固定・調整補助,フレームを安定させて角度調整しやすい,엔드피스 고정 및 조정 보조,프레임을 안정시켜 각도 조정이 쉬움,151300,KRW,,カタログP.131,356-P_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%97%e3%83%ac%e3%83%9f%e3%82%a2%e3%83%a0%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3-356p/
356-1,No.356ヤットコ先プラスチック(ブルー)(1組中1ヶ分),No.356플라이어플라스틱 팁스틱(블루)(1 중1),ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,1組,,356-1_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=356-1
357,ヤットコ,플라이어,カット加工,狙った位置を切りやすい,절단 가공,원하는 위치를 자르기 쉬움,141100,KRW,,カタログP.125,357_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3357/
358-A,ヤットコ,플라이어,フレーム調整・部品保持,狙った部分を安定してつかみやすい,프레임 조정 및 부품 고정,원하는 부분을 안정적으로 잡기 쉬움,81600,KRW,,,358-A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=358-A
358-B,ヤットコ,플라이어,フレーム調整・部品保持,狙った部分を安定してつかみやすい,프레임 조정 및 부품 고정,원하는 부분을 안정적으로 잡기 쉬움,81600,KRW,,,358-B_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=358-B
358-1,No.358ヤットコ先プラスチック,No.358플라이어플라스틱 팁스틱,ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=358-1
359-1,No.359ヤットコ先プラスチックブルー(丸),No.359플라이어플라스틱 팁스틱블루(원형),ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=359-1
359-2,No.359ヤットコ先プラスチックブルー(角),No.359플라이어플라스틱 팁스틱블루(각형),ヤットコ先端交換・保護,調整時のキズを抑えやすい,플라이어 팁 교체 및 보호,조정 중 흠집을 줄이기 쉬움,6900,KRW,,,,https://www.san-nishimura.co.jp/product/item/?key_word=359-2
360,トルクドライバー(2本入),드라이버(2개),ネジ調整,日常修理をスムーズにしやすい,나사 조정,일상 수리를 원활하게 하기 쉬움,121200,KRW,2本,カタログP.157,360_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%88%e3%83%ab%e3%82%af%e3%83%89%e3%83%a9%e3%82%a4%e3%83%90%e3%83%bc/
362-A,テグス(ナイロールフレーム用)0.5mmトーメイ,(롤프레임)0.5mm,ナイロール用テグス交換,レンズを安定して固定しやすい,나일론 림 줄 교체,렌즈를 안정적으로 고정하기 쉬움,11500,KRW,,,362-A_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=362-A
362-A30,テグス(ナイロールフレーム用)0.5mmトーメイ お徳用30M,(롤프레임)0.5mm 대용량30M,ナイロール用テグス交換,レンズを安定して固定しやすい,나일론 림 줄 교체,렌즈를 안정적으로 고정하기 쉬움,27000,KRW,,カタログP.60,362-A30_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=362-A30
362-A50,テグス(ナイロールフレーム用)0.5mm トーメイお徳用50M,(롤프레임)0.5mm 대용량50M,ナイロール用テグス交換,レンズを安定して固定しやすい,나일론 림 줄 교체,렌즈를 안정적으로 고정하기 쉬움,35700,KRW,,カタログP.60,362-A50_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=362-A50
362-C,テグス(ナイロールフレーム用)0.5mmグリーン,(롤프레임)0.5mm그린,ナイロール用テグス交換,レンズを安定して固定しやすい,나일론 림 줄 교체,렌즈를 안정적으로 고정하기 쉬움,11500,KRW,,,362-C_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=362-C
368,ヤットコ(先平),플라이어(평면),クリングス微調整,小さなパット足を正確につかみやすい,클링스 미세 조정,작은 패드 암을 정확히 잡기 쉬움,74800,KRW,,カタログP.123,368_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3368/
369,スーパーリキット,슈퍼 리퀴드,接着・ゆるみ止め,補修後の固定を安定させやすい,접착 및 풀림 방지,보수 후 고정을 안정시키기 쉬움,15600,KRW,,カタログP.263,369_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%82%b9%e3%83%bc%e3%83%91%e3%83%bc%e3%83%aa%e3%82%ad%e3%83%83%e3%83%88/
371-N,ヌレテ-ル(クリーナー),- (클리너),清掃・仕上げ,お渡し前の見た目を整えやすい,청소 및 최종 마감,전달 전 외관을 정돈하기 쉬움,95800,KRW,,カタログP.94,371-N_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%8c%e3%83%ac%e3%83%86%e3%83%bc%e3%83%ab/
372,ヤットコ(ニッパー),플라이어(니퍼),カット加工,狙った位置を切りやすい,절단 가공,원하는 위치를 자르기 쉬움,86700,KRW,,カタログP.147,372_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%8b%e3%83%83%e3%83%91%e3%83%bc-2/
379,ヤットコ,플라이어,パッド取り外し・交換,細かなパッド部品を扱いやすい,패드 분리 및 교체,작은 패드 부품을 다루기 쉬움,85000,KRW,,"カタログP.143,161,170",379_1.jpg,https://www.san-nishimura.co.jp/product/item/%e3%83%a4%e3%83%83%e3%83%88%e3%82%b3379/
382,シリコンモダンスリム,실리콘팁,モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,54400,KRW,5ペア,カタログP.73,382_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=382
382-BK,シリコン・モダンスリム(ブラック・BK),실리콘 팁 (블랙 BK),モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,54400,KRW,,,382-BK_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=382-BK
382-BR,シリコン・モダンスリム(ブラウン・BR),실리콘 팁 (브라운 BR),モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,54400,KRW,,,382-BR_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=382-BR
382-CL,シリコン・モダンスリム(クリアー・CL),실리콘 팁 (클리어 CL),モダン交換,耳まわりの掛け心地と見た目を整えやすい,모던 교체,귀 주변 착용감과 외관을 정돈하기 쉬움,54400,KRW,,,382-CL_1.jpg,https://www.san-nishimura.co.jp/product/item/?key_word=382-CL
