"品番","商品名_JA","current_pack_qty","catalog_pack_qty","pack_status","catalog_pages","evidence","notes"
"712-BK","シリコンモダンDXセット(ブラック)","","","no_catalog_evidence","","",""
"712-BR","シリコンモダンDXセット(ブラウン)","","","no_catalog_evidence","","",""
"712-DM","シリコンモダンDXセット(デミアンバー)","","","no_catalog_evidence","","",""
"713","ダイヤモンドヤスリ(平)","","ambiguous","ambiguous","カタログP.240","",""
"714","ダイヤモンドヤスリ(丸)","","ambiguous","ambiguous","カタログP.240","",""
"716","ヤットコ","","6ヶ","missing_candidate","カタログP.211","PDF抽出メモ:品番直近=6ヶ [No.716-A 先ビニール（6ヶ入） 240N345]",""
"716-A","ヤットコ先ビニール(6ケ入)","6ヶ","6ヶ","ok","カタログP.211","PDF抽出メモ:品番直近=6ヶ [No.716-A 先ビニール（6ヶ入） 240N345 Plier 240N5300]",""
"717","ヤットコ","","ambiguous","ambiguous","カタログP.209","",""
"717-1","No.717ヤットコ先プラスチック","","","no_catalog_evidence","","",""
"718","工具台(木製)","","ambiguous","ambiguous","カタログP.245","",""
"719","ヤットコ","","ambiguous","ambiguous","カタログP.210","",""
"720","ヤットコ(小型)","","ambiguous","ambiguous","カタログP.215,246","",""
"720-1","No.720ヤットコ先プラスチック(凹)","","","no_catalog_evidence","","",""
"720-2","No.720ヤットコ先プラスチック(凸)","","","no_catalog_evidence","","",""
"721","ステレオバタフライテスト(ランダムドット)","","ambiguous","ambiguous","カタログP.275","",""
"722","偏光板","","ambiguous","ambiguous","カタログP.275","",""
"723-A","レンズロックテープ(10シート、100ヶ入)","100ヶ","100ヶ","ok","カタログP.322","PDF抽出メモ:品番直近=100ヶ [No.723-A 10シート、100ヶ入り 240N1380]",""
"723-B","レンズロックテープ(1ロール、1000ヶ入)","1000ヶ","1000ヶ","ok","カタログP.322","PDF抽出メモ:品番直近=1000ヶ [No.723-B 1 ロール、1000ヶ入り 240N12420 原寸大 ワイドカップ 31㎜ ショップ アイテム 18㎜ POP ラッピング エッシェン バッハ]",""
"724","除菌洗浄液(ブルー)(サンメガウォッシュアクア)","","ambiguous","ambiguous","カタログP.319","",""
"726","ネジ締めスタンド","","ambiguous: 4 個 / 1 本","ambiguous","カタログP.291","PDF抽出メモ:品番直近=4 個 [廻し ゴムパッキン 2.0㎜ 4 個入 240N644 240N184 Worktable 240N6500] || PDF抽出メモ:品番直近=1 本 [No.726用 ネジ締めスタンド部品 ネジ頭の種類に該当する 先に、ネジ頭を当てて圧力 を加えて廻して下さい。 726-A ドライバー先⊕ 2.0㎜ 1 本 ●]","複数候補あり: 4 個 / 1 本"
"726-A","ドライバー先丈+2.0mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [726-A ドライバー先⊕ 2.0㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"726-B","ドライバー先丈-2.0mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [No.726-B ドライバー先⊖ 2.0㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"726-C","六角ナット廻し先丈2.0mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [No.726-C 六角ナット廻し2.0㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"726-D","六角ナット廻し先丈2.3mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [No.726-D 六角ナット廻し2.3㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"726-E","六角ナット廻し先丈2.5mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [No.726-E 六角ナット廻し2.5㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"726-F","花型ナット廻し先丈2.6mm","1本","1 本","ok","カタログP.291","PDF抽出メモ:品番直近=1 本 [No.726-F 六角ナット廻し2.6㎜ 1 本 ●] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"727","拭き取りクロス(ティッシュ型・オプティネット)","","1 本","missing_candidate","カタログP.319","PDF抽出メモ:品番直近=1 本 [No.727 拭き取りクロス 240N782 Cleaner for Ultrasonic Cleaner 240N656 ツ ーポイント 穴 埋 め 小売価格 1 本 ¥1,450（税込） バ フ モーター 関 連]",""
"728","フォローゲージ","","ambiguous","ambiguous","カタログP.251","",""
"729-1","のぼり(メガネBigバーゲン)","","ambiguous","ambiguous","カタログP.344,345","",""
"729-2","のぼり(シニアグラス)","","ambiguous","ambiguous","カタログP.344","",""
"729-3","のぼり(時計宝飾メガネ)","","ambiguous","ambiguous","カタログP.345","",""
"729-4","のぼり(UV対応レンズ)","","ambiguous","ambiguous","カタログP.344","",""
"729-5","のぼり(メガネ・コンタクト)","","ambiguous","ambiguous","カタログP.345","",""
"729-6","のぼり(子供用メガネ)","","ambiguous","ambiguous","カタログP.344","",""
"729-7","のぼり(トータルコーディネート)","","ambiguous","ambiguous","カタログP.344","",""
"729-8","のぼり(フレッシュフェア)","","ambiguous","ambiguous","カタログP.345","",""
"729-10","のぼり(花粉防止メガネ)","","ambiguous","ambiguous","カタログP.344","",""
"729-11","のぼり(メガネ決算セール)","","ambiguous","ambiguous","カタログP.345","",""
"729-13","のぼり(点検・調整・クリーニング)","","ambiguous","ambiguous","カタログP.344","",""
"729-14","のぼり(大切なメガネ直します)","","ambiguous","ambiguous","カタログP.345","",""
"729-15","のぼり(メガネ・ふうせん)","","ambiguous","ambiguous","カタログP.344","",""
"729-16","のぼり(PCメガネ)","","ambiguous","ambiguous","カタログP.344","",""
"729-17","のぼり(メガネフェア)","","ambiguous","ambiguous","カタログP.345","",""
"729-18","のぼり(下取りセール)","","ambiguous","ambiguous","カタログP.345","",""
"729-19","のぼり(メガネレンズ交換)","","ambiguous","ambiguous","カタログP.344","",""
"729-20","のぼり(EYE GLASSES)","","ambiguous","ambiguous","カタログP.343","",""
"729-21","のぼり(WELCOME)","","ambiguous","ambiguous","カタログP.343","",""
"729-22","のぼり(Now Open)","","ambiguous","ambiguous","カタログP.343","",""
"729-23","のぼり(BIG SALE)","","ambiguous","ambiguous","カタログP.343","",""
"729-24","のぼり(眼鏡作製技能士)","","ambiguous","ambiguous","カタログP.345","",""
"729-25","のぼり(サングラス・オレンジ)","","ambiguous","ambiguous","カタログP.344","",""
"729-26","のぼり(カラーレンズ取扱店)","","ambiguous","ambiguous","カタログP.345","",""
"729-A","のぼり(ブランド品)","","ambiguous","ambiguous","カタログP.344","",""
"729-C","のぼり(遠近両用)","","ambiguous","ambiguous","カタログP.344","",""
"729-D","のぼり(メガネフレーム)","","ambiguous","ambiguous","カタログP.345","",""
"729-E","のぼり(調整クリーニング)","","ambiguous","ambiguous","カタログP.344","",""
"729-F","のぼり(各種メガネ)","","ambiguous","ambiguous","カタログP.344","",""
"729-G","のぼり(セット)","","ambiguous","ambiguous","カタログP.344","",""
"729-H","のぼり(補聴器)","","ambiguous","ambiguous","カタログP.345","",""
"729-I","のぼり(視力測定)","","ambiguous","ambiguous","カタログP.344","",""
"729-J","のぼり(時計)","","ambiguous","ambiguous","カタログP.345","",""
"729-KA","のぼり用注水立て台(11L) ホワイト","","ambiguous","ambiguous","カタログP.343","",""
"729-L","のぼり竿","","ambiguous","ambiguous","カタログP.343","",""
"729-L-1","のぼり竿 部品 横棒のみ","","ambiguous","ambiguous","カタログP.343","",""
"729-L-2","のぼり竿 部品 回転柱(キャップ)のみ","","ambiguous","ambiguous","カタログP.343","",""
"729-M","のぼり(超撥水レンズ)","","ambiguous","ambiguous","カタログP.344","",""
"729-N","のぼり(眼科処方せん)","","ambiguous","ambiguous","カタログP.344","",""
"729-P4","のぼり(Sale)","","ambiguous","ambiguous","カタログP.345","",""
"729-T","のぼり(10月1日メガネの日)","","ambiguous","ambiguous","カタログP.345","",""
"729-U","のぼり(深視力測定できます)","","ambiguous","ambiguous","カタログP.274,344","",""
"729-V","のぼり(あなたのまちのメガネ屋さん)","","ambiguous","ambiguous","カタログP.345","",""
"729-X","のぼり(40代からのメガネ 遠近両用フェア)","","ambiguous","ambiguous","カタログP.344","",""
"729-Z","のぼり(時計電池交換)","","ambiguous","ambiguous","カタログP.345","",""
"736-B-36","ビーバ ブルー(36) ケーブルタイプ","","","no_catalog_evidence","","",""
"736-B-38","ビーバ ブルー(38) ケーブルタイプ","","","no_catalog_evidence","","",""
"736-P-36","ビーバ ピンク(36) ケーブルタイプ","","","no_catalog_evidence","","",""
"736-P-38","ビーバ ピンク(38) ケーブルタイプ","","","no_catalog_evidence","","",""
"741N","フィッティングメジャー","","ambiguous","ambiguous","カタログP.252","",""
"743-A","加工整理箱用カード(100枚入)","100枚","5 枚","corrected_candidate","カタログP.327","PDF抽出メモ:品番直近=5 枚 [Card 5 箱入 カード5 枚（35×45㎜） W158×D190×H57㎜ W150×D180×H50㎜]","currentとカタログ候補が不一致"
"749-DA-4","リメイクカバー(デミ) グレー(細)","","","no_catalog_evidence","","",""
"749-DB-4","リメイクカバー(デミ) ブルー(細)","","","no_catalog_evidence","","",""
"749-DC-4","リメイクカバー(デミ) グリーン(細)","","","no_catalog_evidence","","",""
"749-OA","リメイクカバー(ストライプ) ホワイト/ブラック","","","no_catalog_evidence","","",""
"749-OE","リメイクカバー(ストライプ) パープル/ネイビー","","","no_catalog_evidence","","",""
"749-OF","リメイクカバー(ストライプ) イエロー/グリーン","","","no_catalog_evidence","","",""
"749-OG","リメイクカバー(ストライプ) グリーン/レッド","","","no_catalog_evidence","","",""
"749-OH","リメイクカバー(ストライプ) グレー/レッド","","","no_catalog_evidence","","",""
"749-OI","リメイクカバー(ストライプ) ブラウン/レッド","","","no_catalog_evidence","","",""
"749-OJ","リメイクカバー(ストライプ) オレンジ/レッド","","","no_catalog_evidence","","",""
"749-OK","リメイクカバー(ストライプ) バイオレット/レッド","","","no_catalog_evidence","","",""
"749-PC-2","リメイクカバー(パール) モスグリーン(太)","","","no_catalog_evidence","","",""
"749-PC-4","リメイクカバー(パール) モスグリーン(細)","","","no_catalog_evidence","","",""
"749-SC-2","リメイクカバー(スタンダード) ブルー(太)","","","no_catalog_evidence","","",""
"749-SC-4","リメイクカバー(スタンダード) ブルー(細)","","","no_catalog_evidence","","",""
"749-SD-2","リメイクカバー(スタンダード) グリーン(太)","","","no_catalog_evidence","","",""
"749-SD-4","リメイクカバー(スタンダード) グリーン(細)","","","no_catalog_evidence","","",""
"749-SE-2","リメイクカバー(スタンダード) イエロー(太)","","","no_catalog_evidence","","",""
"749-SE-4","リメイクカバー(スタンダード) イエロー(細)","","","no_catalog_evidence","","",""
"749-SF-2","リメイクカバー(スタンダード) オレンジ(太)","","","no_catalog_evidence","","",""
"749-SG-2","リメイクカバー(スタンダード) レッド(太)","","","no_catalog_evidence","","",""
"749-TB","リメイクカバー(透明ストライプ) クリア/ブルー","","","no_catalog_evidence","","",""
"749-TC","リメイクカバー(透明ストライプ) クリア/レッド","","","no_catalog_evidence","","",""
"749-TD","リメイクカバー(透明ストライプ) グレー/ブルー","","","no_catalog_evidence","","",""
"749-TE","リメイクカバー(透明ストライプ) ピンク/レッド","","","no_catalog_evidence","","",""
"749-TF","リメイクカバー(透明ストライプ) ピンク/ブルー","","","no_catalog_evidence","","",""
"749-TG","リメイクカバー(透明ストライプ) レッド/ブルー","","","no_catalog_evidence","","",""
"750-A","鼻盛液","","ambiguous","ambiguous","カタログP.303","",""
"750-B","保持台","","ambiguous","ambiguous","カタログP.303","",""
"750-C","UVライトC[177,750]兼用","","ambiguous","ambiguous","カタログP.303","",""
"750-D","鼻盛液用ヘラ(5本入)","5本","5 本","ok","カタログP.303","PDF抽出メモ:品番直近=5 本 [No.750-D ヘラ 5 本入 240N403 ご注意 ●]",""
"750-E","紫外線硬化型樹脂 鼻パット張り合わせ用","","ambiguous","ambiguous","カタログP.303","",""
"751","スーパーロック","","ambiguous","ambiguous","カタログP.339","",""
"752-1","横田流フィッティング術実践編パート5","","ambiguous","ambiguous","カタログP.353","",""
"752-2","横田流フィッティング術25のテクニック","","ambiguous","ambiguous","カタログP.353","",""
"752-3","国家検定資格「眼鏡作製技能士」の誕生と眼科専門医との連携","","ambiguous","ambiguous","カタログP.352","",""
"752-A","科学的な眼鏡調製","","ambiguous","ambiguous","カタログP.352","",""
"752-B","メガネは眼そのもの","","ambiguous","ambiguous","カタログP.352","",""
"752-C","野矢さんの眼鏡学講座","","ambiguous","ambiguous","カタログP.352","",""
"752-D","野矢さんの眼鏡学講座2","","ambiguous","ambiguous","カタログP.352","",""
"752-L","基礎両眼視","","ambiguous","ambiguous","カタログP.353","",""
"752-M","野矢さんの 眼鏡学講座3","","ambiguous","ambiguous","カタログP.352","",""
"752-N","眼鏡用語辞典","","ambiguous","ambiguous","カタログP.353","",""
"752-P","装用テストの実際","","ambiguous","ambiguous","カタログP.352","",""
"752-Q","近用眼鏡処方の手順","","ambiguous","ambiguous","カタログP.352","",""
"752-S","立体視検査","","ambiguous","ambiguous","カタログP.353","",""
"752-T","横田流フィッティング術テクニックブック","","2 冊","missing_candidate","カタログP.353","PDF抽出メモ:品番直近=2 冊 [す。両眼 視機能検査の入門書としても最適です。 実務に役立つ 2 冊セットを お得価格にしました。 A4 版]",""
"752-V","横田流フィッティング術実践編パート2","","ambiguous","ambiguous","カタログP.353","",""
"752-W","すぐに役立つ眼鏡学 理論編","","ambiguous","ambiguous","カタログP.353","",""
"752-X","すぐに役立つ眼鏡学 実務編","","ambiguous","ambiguous","カタログP.353","",""
"752-Y","横田流フィッティング術実践編パート3","","ambiguous","ambiguous","カタログP.353","",""
"752-Z","横田流フィッティング術実践編パート4","","ambiguous","ambiguous","カタログP.353","",""
"752-WX","すぐに役立つ眼鏡学 (理論編・実務編 2冊セット)","","2 冊","missing_candidate","カタログP.353","PDF抽出メモ:品番直近=2 冊 [No.752-WX すぐに役立つ眼鏡学 理論編・実務編（２冊セット） 240N9000 理論編では、フレームや基礎知識に必要な 光学を含むレンズの話、眼の構造機能や屈 折異常など眼鏡業界に携わる人に必須の内 容になっています。また、両眼視機能など中 級者の方にも読み応えのある内容です。 実務編では、屈折検査や眼鏡調製・フィッ ティングなど、理論編の知識に基づき具 体的な測定手順などを詳説し、様々な実 務に活かせる内容になっています。両眼 視機能検査の入門書としても最適です。 実務に役立つ 2 冊セットを お得価格にしました。]",""
"754","保護テープカッター","","ambiguous","ambiguous","カタログP.325,327","",""
"755-B","エンジェルジュエリー専用段付ドリル1.5mm用","","ambiguous","ambiguous","カタログP.159","",""
"755-C","エンジェルジュエリー専用段付ドリル2.25mm用","","ambiguous","ambiguous","カタログP.159","",""
"756-D-2","天然石ダイヤ2.25mm(2個入)","2個","ambiguous","ambiguous","カタログP.159","",""
"756-D-4","天然石ダイヤ1.5mm(10個入)","10個","ambiguous","ambiguous","カタログP.159","",""
"756-R-2","天然石ルビー2.25mm(2個入)","2個","ambiguous","ambiguous","カタログP.159","",""
"756-R-4","天然石ルビー1.5mm(10個入)","10個","ambiguous","ambiguous","カタログP.159","",""
"756-S-2","天然石サファイヤ2.25mm(2個入)","2個","ambiguous","ambiguous","カタログP.159","",""
"756-S-4","天然石サファイヤ1.5mm(10個入)","10個","ambiguous","ambiguous","カタログP.159","",""
"757-BR-4","合成石CZ(ブラウン)1.5mm(80個入)","80個","","no_catalog_evidence","","",""
"757-GY-2","合成石CZ(ゴールデンイエロー)2.25mm(80個入)","80個","","no_catalog_evidence","","",""
"757-OR-2","合成石CZ(オレンジ)2.25mm(80個入)","80個","","no_catalog_evidence","","",""
"759N","ノンフロンクリーンエース(エアダスター)","","ambiguous","ambiguous","カタログP.333","",""
"765","ヤットコ(3mm)","","ambiguous","ambiguous","カタログP.206,210,246,248","",""
"765-1","先プラスチック(3mm)","","","no_catalog_evidence","","",""
"766","ヤットコ(5mm)","","ambiguous","ambiguous","カタログP.206,210,246","",""
"766-1","先プラスチック(5mm)","","","no_catalog_evidence","","",""
"767","サーモレックス","","ambiguous","ambiguous","カタログP.278,279","",""
"768-C","プライスホルダーC(100枚入)","100枚","100 枚","ok","カタログP.351","PDF抽出メモ:品番直近=100 枚 [No.768-C 加 1 包 100 枚入り 各 Price Holder]",""
"769-A","値札(ホワイト)税込価格(1000枚入)","1000枚","ambiguous","ambiguous","カタログP.351","",""
"769-B","値札(ブルー)税込価格(1000枚入)","1000枚","ambiguous","ambiguous","カタログP.351","",""
"769-F","値札(ホワイト)税抜価格(1000枚入)","1000枚","ambiguous","ambiguous","カタログP.351","",""
"769-K","値札用回転印(欧文5号6連)","","ambiguous","ambiguous","カタログP.350","",""
"772","スライドバネ丁番セット","","1組","missing_candidate","カタログP.133","PDF抽出メモ:品番直近=1組 [No.772-519 スライドケースW スタンダード 1組 240N820 1組 240N820]",""
"772-518","スライドバネ丁番スライドケースG","1組","1組","ok","カタログP.133","既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]",""
"772-519","スライドバネ丁番スライドケースW","1組","1組","ok","カタログP.133","PDF抽出メモ:品番直近=1組 [No.772-519 スライドケースW スタンダード 1組 240N820 1組 240N820] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]",""
"772-520","スプリングボルト","10個","ambiguous: 1組 / 10個","ambiguous","カタログP.133","PDF抽出メモ:品番直近=1組 [タンダード No.772-519 スライドケースW スタンダード 1組 240N820 1組 240N820] || PDF抽出メモ:品番直近=10個 [.772-520 No.772-521 スプリングボルト 10個 工 スライドバネ丁番 バネ丁番用フロントW 1.4×3.0×1.3 売 計測器] || 既存入数抽出メモ:PDF抽出メモ=10個 [10個] || pack_quantity_fill_report:PDF抽出メモ=10個 [10個]","複数候補あり: 1組 / 10個"
"772-521","バネ","10個","ambiguous: 10個 / 1組","ambiguous","カタログP.133","PDF抽出メモ:品番直近=10個 [No.772-521 スプリングボルト 10個 工 スライドバネ丁番 バネ丁番用フロントW 1.4×3.0×1.3 売 計測器] || PDF抽出メモ:品番直近=1組 [2-519 スライドケースW スタンダード 1組 240N820 1組 240N820 No.772-520] || 既存入数抽出メモ:PDF抽出メモ=10個 [10個] || pack_quantity_fill_report:PDF抽出メモ=10個 [10個]","複数候補あり: 10個 / 1組"
"772-522","プランジャー","","ambiguous: 10個 / 12ヶ","ambiguous","カタログP.133","PDF抽出メモ:品番直近=10個 [No.772-522 プランジャー 10個 240N1250 丁番ネジをはずしてヨロイからテンプル部を分離して、バネ機構を止めてある プランジャー部にドリル等を用いて穴をあけプランジャーを取り除きます。 ケースをスライドさせテンプルから分離すると全てのパーツが分解できます。 ※以上の作業は必ずバイス等を用いて確実にケース部を固定しておこなって下さい。 サービス パック シリコン パ ット バネにスプリングボルトを 挿入する。 ①で組み合わせたバネと スプリングボルトを一緒に] || PDF抽出メモ:品番直近=12ヶ [.772-522 No.773-523 12ヶ]","複数候補あり: 10個 / 12ヶ"
"773-523","スライドバネ丁番スライドケースG","1組","ambiguous: 12ヶ / 1組","ambiguous","カタログP.133","PDF抽出メモ:品番直近=12ヶ [No.773-523 12ヶ] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]","複数候補あり: 12ヶ / 1組"
"773-524","スライドバネ丁番スライドケースW","1組","1組","ok","カタログP.133","PDF抽出メモ:品番直近=1組 [No.773-524 スライドケースW スタンダード 1組 240N820] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]",""
"773-525","スライドバネ丁番スライドケースG","1組","ambiguous: 1組 / 10個","ambiguous","カタログP.133","PDF抽出メモ:品番直近=1組 [1組 240N820 No.773-528 バ 10個 1組 240N820] || PDF抽出メモ:品番直近=10個 [1組 240N820 No.773-528 バ 10個 1組 240N820] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]","複数候補あり: 1組 / 10個"
"773-526","スライドバネ丁番スライドケースW","1組","ambiguous: 1組 / 10個","ambiguous","カタログP.133","PDF抽出メモ:品番直近=1組 [No.773-526 スライドケースW ベラドナ 1組 240N820 1組 240N820] || PDF抽出メモ:品番直近=10個 [バ 10個 1組 240N820 No.773-525 スライドケースG ベラドナ] || 既存入数抽出メモ:PDF抽出メモ=1組 [1組] || pack_quantity_fill_report:PDF抽出メモ=1組 [1組]","複数候補あり: 1組 / 10個"
"773-527","スプリングボルト","10個","ambiguous: 10個 / 1組","ambiguous","カタログP.133","PDF抽出メモ:品番直近=10個 [No.773-527 スプリングボルト 10個 240N755] || PDF抽出メモ:品番直近=1組 [て下さい || No.773-526 スライドケースW ベラドナ 1組 240N820 1組 240N820] || 既存入数抽出メモ:PDF抽出メモ=10個 [10個] || pack_quantity_fill_report:PDF抽出メモ=10個 [10個]","複数候補あり: 10個 / 1組"
"773-528","バネ","10個","ambiguous: 10個 / 1組","ambiguous","カタログP.133","PDF抽出メモ:品番直近=10個 [No.773-528 バ 10個 1組 240N820] || PDF抽出メモ:品番直近=1組 [No.773-528 バ 10個 1組 240N820] || 既存入数抽出メモ:PDF抽出メモ=10個 [10個] || pack_quantity_fill_report:PDF抽出メモ=10個 [10個]","複数候補あり: 10個 / 1組"
"773-529","ロッキングデバイス","","ambiguous: 10個 / 1組","ambiguous","カタログP.133","PDF抽出メモ:品番直近=10個 [No.773-529 ネ ロッキングデバイス 240N755 ケースを後ろより軽く押しながら、矢印部分を マイナスドライバーで斜めに押して下さい。 ロッキングデバイスがテンプル側の穴から外れ 分解されます。 10個 240N1250 バネにスプリングボルトを 挿入する。 バネ・スプリングボルトが 組み込まれたケースをテンプルに] || PDF抽出メモ:品番直近=1組 [P1〜5 を参照 || 1組 240N820 No.773-527 スプリングボルト 10個 240N755]","複数候補あり: 10個 / 1組"
"775","方眼シール(50枚入)","50枚","50 枚","ok","カタログP.335","PDF抽出メモ:品番直近=50 枚 [No.775 方眼シール ティッシュペーパーを指先に 当てて中央部を押すと適量 の液がティッシュペーパーに しみ込みます。 容量：180㎖ サイズ：110（H） ×55（W）㎜ 50 枚入り 240N1150 ニデック 純 正 消耗品 ロ ー ル ペーパー・ ア ゴ 紙]",""
"778","電子ガスバーナー","","ambiguous","ambiguous","カタログP.310","",""
"787","25通ポータブルレンズセット(アルミケース仕様)","","ambiguous","ambiguous","カタログP.153,267","",""
"788","35通ポータブルレンズセット(アルミケース仕様)","1枚","ambiguous: 2枚 / 1枚","ambiguous","カタログP.267","PDF抽出メモ:品番直近=2枚 [No.788 No. パーツ 各2枚 － 各2枚 － － 各2枚 － 各2枚] || 既存入数抽出メモ:PDF抽出メモ=1枚 [1枚] || pack_quantity_fill_report:PDF抽出メモ=1枚 [1枚]","複数候補あり: 2枚 / 1枚"
"789","強力マグネットツールバー","","ambiguous","ambiguous","カタログP.245","",""
"791-B","ターンディスプレイ(ブルー)","","3 本","missing_candidate","カタログP.348","PDF抽出メモ:品番直近=3 本 [イズ 単三乾電池 3 本 約 500ｇ 直径 124×高さ34㎜ 200ｇ （電池含む） Laminater]",""
"791-BK","ターンディスプレイ(ブラック)","","ambiguous","ambiguous","カタログP.348","",""
"791-RE","ターンディスプレイ(レッド)","","ambiguous","ambiguous","カタログP.348","",""
"792","ミニルーター(100Vタイプ)","","1 個","missing_candidate","カタログP.280","PDF抽出メモ:品番直近=1 個 [No.792 ミニルーター 小径ミニルーターの強力タイプ。AC100Vモーターを使用し、耐久性に優れトルクも強力です。 計測器 視力測定 加 工 加工備品 消 耗 品 ショップ アイテム POP ラッピング コレットチャック 1.0㎜、2.4㎜、3.0㎜ 各 1 個 ● 専用スパナ ●]",""
"793","オイルスプレー(CRC5-56)","","ambiguous","ambiguous","カタログP.333","",""
"794","(+)チェンジドライバーセット(2本入)","2本","ambiguous: 2 本 / 3 本","ambiguous","カタログP.231","PDF抽出メモ:品番直近=2 本 [No.794 240N1645 ⊕チェンジドライバーセット（2 本入） 240N2000 （3 本入）] || PDF抽出メモ:品番直近=3 本 [No.794 240N1645 ⊕チェンジドライバーセット（2 本入） 240N2000 （3 本入）]","複数候補あり: 2 本 / 3 本"
"794-1","チェンジドライバ-柄[No.794,795]兼用","","ambiguous","ambiguous","カタログP.230","",""
"794S","(+)チェンジドライバーセット(3本入)","3本","ambiguous: 2 本 / 3 本","ambiguous","カタログP.231","PDF抽出メモ:品番直近=2 本 [入） No.794 240N1645 ⊕チェンジドライバーセット（2 本入） 240N2000 （3 本入）] || PDF抽出メモ:品番直近=3 本 [入） No.794 240N1645 ⊕チェンジドライバーセット（2 本入） 240N2000 （3 本入）]","複数候補あり: 2 本 / 3 本"
"795","(-)チェンジドライバーセット(3本入)","3本","3 本","ok","カタログP.231","PDF抽出メモ:品番直近=3 本 [No.795 240N2000 ⊖チェンジドライバーセット（3 本入）]",""
"796-GL","マイクロクロスクリーン(大判) グレー","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [No.796-GL 出荷単位 N コード 1枚 240N564 1枚 240N564]",""
"796-NB","マイクロクロスクリーン(大判) ネイビーブルー","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [イエロー） （グレー） （ネイビーブルー） 出荷単位 N コード 1枚 240N564 1枚 240N564]",""
"796-SB","マイクロクロスクリーン(大判) スカイブルー","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [出荷単位 N コード 1枚 240N564 1枚 240N564 No.796-YE 品 番]",""
"796-YE","マイクロクロスクリーン(大判) イエロー","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [番 No.796-GL 出荷単位 N コード 1枚 240N564 1枚 240N564]",""
"796-1-GL","マイクロクロスクリーン(大判)台紙なし(グレー) 兼用","","","no_catalog_evidence","","",""
"796-1-NB","マイクロクロスクリーン(大判)台紙なし(ネイビーブルー) 兼用","","","no_catalog_evidence","","",""
"796-1-SB","マイクロクロスクリーン(大判)台紙なし(スカイブルー)兼用","","","no_catalog_evidence","","",""
"796-1-YE","マイクロクロスクリーン(大判)台紙なし(イエロー)兼用","","","no_catalog_evidence","","",""
"797-P","ノンスリップクロスL ピンク","1枚","ambiguous: 6 枚 / 12 枚 / 1枚","ambiguous","カタログP.175","PDF抽出メモ:品番直近=6 枚 [No.797-P 品 1 セット 2 色×6 枚 12 枚入 番 加工備品 消 耗 品 ショップ アイテム POP ラッピング Non-Slip Cloth] || PDF抽出メモ:品番直近=12 枚 [No.797-P 品 1 セット 2 色×6 枚 12 枚入 番 加工備品 消 耗 品 ショップ アイテム POP ラッピング Non-Slip Cloth] || 既存入数抽出メモ:PDF抽出メモ=1枚 [1枚] || pack_quantity_fill_report:PDF抽出メモ=1枚 [1枚]","複数候補あり: 6 枚 / 12 枚 / 1枚"
"797-SB","ノンスリップクロスL スカイブルー","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [No.797-SB 1枚 240N564]",""
"797","ノンスリップクロスL","","1枚","missing_candidate","カタログP.175","PDF抽出メモ:品番直近=1枚 [No.797 1枚 240N564]",""
"798-A","レンズロックテープ ワイドカップ用(10シート、100ヶ入)","100ヶ","100ヶ","ok","カタログP.322","PDF抽出メモ:品番直近=100ヶ [スタンダード 24㎜ 24㎜ No.723-A 10シート、100ヶ入り 240N1380]",""
