品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
749-TB,リメイクカバー(透明ストライプ) クリア/ブルー,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
749-TC,リメイクカバー(透明ストライプ) クリア/レッド,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
749-TD,リメイクカバー(透明ストライプ) グレー/ブルー,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
749-TE,リメイクカバー(透明ストライプ) ピンク/レッド,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
749-TF,リメイクカバー(透明ストライプ) ピンク/ブルー,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
749-TG,リメイクカバー(透明ストライプ) レッド/ブルー,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,,モダン・先セルの交換に使うパーツです。傷みや汚れを交換し、耳まわりの掛け心地と見た目を整えやすくします。,A replacement part for temple tips. It helps refresh worn or dirty tips and improve comfort and appearance around the ears.,用于更换脚套/镜腿末端的部件。可替换磨损或污损部位，改善耳周佩戴感和外观。,모던과 팁 교체에 사용하는 부품입니다. 낡거나 오염된 부분을 교체해 귀 주변 착용감과 외관을 정돈하기 쉽습니다.,PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
750-A,鼻盛液,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.227 / 鼻盛り補助 / フィット感を整えやすい / 鼻盛り補助に使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / ご注文の際は番手をご指定下さい。 ※価格等、詳細はインデックスをご参照下さい。 パーツ Nose Pad Correcting Set 240N1495 No.750-A 鼻盛液 Nose Pad Correcting Item 240N1495 （紫外線硬化型樹脂） No.750-E パット張り合わせ液 鼻盛用の紫外線硬化樹脂 鼻盛パットの張り合わせに向いた鼻盛液 適度な粘性で加工しやすく、定着しやすい。 ● 透明度が良いので目立ちにくい。 ● オプチルフレーム・セルフレーム兼用。 粘性が少ない為、気泡が入りにくい ● 体積変化が少なく、 鼻盛パットのカーブ合わせが不要。,プラスチックフレームなどの鼻盛りに使うパーツです。高さや当たりを補正し、低い鼻当てでも掛け位置を整えやすくします。,A part for building up the nose area on plastic frames. It helps adjust height and contact so the glasses sit more comfortably.,用于塑料镜架等鼻托加高的部件。可补正高度和接触位置，使佩戴位置更容易调整。,플라스틱 프레임 등의 코받침 높이를 보정하는 부품입니다. 높이와 닿는 위치를 조정해 착용 위치를 맞추기 쉽습니다.,カタログP.227 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
750-B,保持台,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.227 / 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ / 確認してください。 ● フレームの表面に模様、 艶出し、艶消しなど のコーティングがほどこされている場合、鼻 盛を剥離する際はがれることがあります。 ● ● 鼻盛器セット部品 No.750-B 保持台 ※旧式鼻盛器 No.177にも使用できます。 240N3450 No.750-C UV ライト6W 240N2760 210㎜×15.5㎜ No.750-D ヘラ 5 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ,機械や専用器具の交換・補修に使う部品です。消耗や破損時に必要箇所を交換し、機器を使い続けやすくします。,A replacement or repair part for machines or dedicated devices. It helps keep equipment usable when parts wear or break.,用于机器或专用器具更换、维修的部件。磨损或破损时可更换所需部位，延长设备使用。,기계나 전용 기기의 교체·보수에 사용하는 부품입니다. 소모나 파손 시 필요한 부분을 교체해 장비를 계속 쓰기 쉽습니다.,カタログP.227 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
750-C,"UVライトC[177,750]兼用",HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.227 / 確認・検査 / 数値や状態をその場で確認し、説明や検品に使いやすい / レンズや部品の状態を確認するための商品です。店頭説明や検品時に、目で見て分かりやすく確認できます。 / ● 鼻盛器セット部品 No.750-B 保持台 ※旧式鼻盛器 No.177にも使用できます。 240N3450 No.750-C UV ライト6W 240N2760 210㎜×15.5㎜ No.750-D ヘラ 5 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ... / 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ います / ● 鼻盛器セット部品 No.750-B 保持台 ※旧式鼻盛器 No.177にも使用できます。 240N3450 No.750-C UV ライト6W 240N2760 210㎜×15.5㎜ No.750-D ヘラ 5 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ います。 原液の長時間の付着、硬化不足により個々の体質によっては、かぶれる可能性がありますので、 敏感肌の方はご使用をお避け下さい。 フレー ム,レンズや表示内容の確認に使うチェッカー・ライト類です。性能説明や店頭デモで、お客様に状態を見せやすくします。,A checker or light for confirming lens or display conditions. It helps show the condition to customers during demonstrations.,用于确认镜片或显示内容的检测器/灯具。便于在门店演示中向顾客展示状态。,렌즈나 표시 상태를 확인하는 체커·라이트류입니다. 매장 데모에서 고객에게 상태를 보여주기 쉽습니다.,カタログP.227 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
750-D,鼻盛液用ヘラ(5本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.227 / 鼻盛り補助 / フィット感を整えやすい / 鼻盛り補助に使う商品です。鼻幅や掛け位置を調整し、ズレ落ちやまつ毛当たりを改善しやすくします。 / 入数: 5本 / 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ います / No.750-B 保持台 ※旧式鼻盛器 No.177にも使用できます。 240N3450 No.750-C UV ライト6W 240N2760 210㎜×15.5㎜ No.750-D ヘラ 5 本入 240N403 ご注意 ● No.750用 鼻盛液・チタングス ※ No.750UV ライト照射機本体は 廃番となった為、別途ご用意くださ います。 原液の長時間の付着、硬化不足により個々の体質によっては、かぶれる可能性がありますので、 敏感肌の方はご使用をお避け下さい。 フレー ム ヒーター チタングス,プラスチックフレームなどの鼻盛りに使うパーツです。高さや当たりを補正し、低い鼻当てでも掛け位置を整えやすくします。,A part for building up the nose area on plastic frames. It helps adjust height and contact so the glasses sit more comfortably.,用于塑料镜架等鼻托加高的部件。可补正高度和接触位置，使佩戴位置更容易调整。,플라스틱 프레임 등의 코받침 높이를 보정하는 부품입니다. 높이와 닿는 위치를 조정해 착용 위치를 맞추기 쉽습니다.,カタログP.227 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
750-E,紫外線硬化型樹脂 鼻パット張り合わせ用,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.227 / 鼻パッド / 掛け心地を整えやすい / 鼻パッドに使う商品です。サイズ・形状・素材を合わせて交換することで、鼻への当たりを整え、掛け心地やフレームの安定感を改善しやすくします。 / 240N1495 No.750-A 鼻盛液 Nose Pad Correcting Item 240N1495 （紫外線硬化型樹脂） No.750-E パット張り合わせ液 鼻盛用の紫外線硬化樹脂 鼻盛パットの張り合わせに向いた鼻盛液 適度な粘性で加工しやすく、定着しやすい。 ● 透明度が良いので目立ちにくい。 ● オプチルフレーム・セルフレーム兼用。 粘性が少ない為、気泡が入りにくい ● 体積変化が少なく、 鼻盛パットのカーブ合わせが不要。 ● アセテート材などを通しても硬化できます。 ● TR-90、 オプチル材などへの張り合わせにも使用可能。 ● ● || ※張り合わせに使う鼻盛パット（貼るタイプ）一覧は P26 参照 ショップ アイテム POP ラッピング エッシェン バッハ 4 鼻盛部分の汚れをアルコール 鼻盛部分に鼻盛液を適当に垂 No.750-E を使用してパットを UV ライトと1㎜程になるまで などで取り除き、フレームの鼻 らして、ヘラで広げ形状をとと 張り合わせる際は気泡が入ら 近づけて固定し、ライトを 30 分 盛する部分が水平になるように のえて下さい。 ないよう、擦り合わせるように 〜 1 時間程当てて完全に硬化 固定してください。 して、張り付けます。 させて下さい。 〈必ずお読み下さい〉 ● 鼻盛液を一度に多量に垂らすと流れますの で、少し垂らし…,鼻パッドの交換・調整に使うパーツです。形状や素材を合わせて選ぶことで、鼻への当たりを整え、掛け心地を改善しやすくします。,A part for replacing or adjusting nose pads. Choosing the right shape and material helps improve nose contact and wearing comfort.,用于更换或调整鼻托的部件。按形状和材质选择，可改善鼻部接触感和佩戴舒适度。,코패드 교체와 조정에 사용하는 부품입니다. 형태와 소재를 맞춰 선택하면 코에 닿는 느낌과 착용감을 개선하기 쉽습니다.,カタログP.227 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
751,スーパーロック,スーパーロック / 751 / 加工備品・消耗品 > ネジゆるみ止め / 強力固着剤！ネジのゆるみやサビを防止します。 | 高粘度で強力固着: 硬化前の液は粘性が高く、液だれしにくくなっています。 レンズ付近にも使用できるので、リム止めネジにもオススメです。 | 内容量: 20ml | 性質: 溶剤揮散型,カタログP.263 / パーツ カスタマイズ 溶剤揮散型固着剤 Super Lock 240N1450 No.751 スーパーロック 硬化後、 樹脂コーティングでネジを守ります。 オススメPOINT 硬化前の液は、 粘性が高くなっています。 ● 硬化すると、 ビニールの様な軟質状態で固まります。 ● 取外す際に、 加熱する必要はありません。 ●,眼鏡部品の接着やネジゆるみ止めに使う液剤です。用途に合わせて使うことで、補修後の固定を安定させやすくします。,A liquid for bonding eyewear parts or preventing screw loosening. Using the right type helps stabilize repaired areas.,用于眼镜部件粘接或螺丝防松的液剂。按用途使用，可使修理后的固定更稳定。,안경 부품 접착이나 나사 풀림 방지에 쓰는 액제입니다. 용도에 맞게 사용하면 보수 후 고정을 안정시키기 쉽습니다.,https://www.san-nishimura.co.jp/product/item/%e3%82%b9%e3%83%bc%e3%83%91%e3%83%bc%e3%83%ad%e3%83%83%e3%82%af/ / カタログP.263 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-1,横田流フィッティング術実践編パート5,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.277 / 眼鏡店作業補助 / 店頭作業を進めやすい / 眼鏡店の修理・調整作業を補助する商品です。用途に合わせて使うことで、店頭作業を進めやすくします。 / 68 頁 実践編パート4 240N2857 興隆出版発行の眼鏡雑誌 THE EYES 連載の横田流フィッティング術より、 抜粋したモデルを１０名抜粋して、修 正、加筆の再編成。 A4 版 No.752-1 横田流フィッティング術 70 頁 実践編パート5 240N2857 クリングス調整の左右別々の手 さばきを解説。細かいヤットコ先 の動きや、掴む場所も詳細... / 68 頁 実践編パート4 240N2857 興隆出版発行の眼鏡雑誌 THE EYES 連載の横田流フィッティング術より、 抜粋したモデルを１０名抜粋して、修 正、加筆の再編成。 A4 版 No.752-1 横田流フィッティング術 70 頁 実践編パート5 240N2857 クリングス調整の左右別々の手 さばきを解説。細かいヤットコ先 の動きや、掴む場所も詳細に説 明。 A4 版 No.752-2 横田流フィッティング術 70 頁 ２５のテクニック 240N3135 鏡,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,カタログP.277 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-2,横田流フィッティング術25のテクニック,横田流フィッティング術 25のテクニック / 752-2 / ショップアイテム > 書籍 / メガネのフィッティングに必要な25のテクニックを、各レッスン毎に、丁寧にわかり易く沢山の写真を使って解説しています。25の各レッスンは、QRコードを付けていて、横田流のYouTube動画（25のテクニック）と連動しています。 | 著者: 横田 進,カタログP.277 / 眼鏡店作業補助 / 店頭作業を進めやすい / 眼鏡店の修理・調整作業を補助する商品です。用途に合わせて使うことで、店頭作業を進めやすくします。 / 70 頁 実践編パート5 240N2857 クリングス調整の左右別々の手 さばきを解説。細かいヤットコ先 の動きや、掴む場所も詳細に説 明。 A4 版 No.752-2 横田流フィッティング術 70 頁 ２５のテクニック 240N3135 鏡 ディスプレイ・ ラミマーク・ 手 袋 店 除 舗 菌 プリンター・ 値 札 印 / 70 頁 実践編パート5 240N2857 クリングス調整の左右別々の手 さばきを解説。細かいヤットコ先 の動きや、掴む場所も詳細に説 明。 A4 版 No.752-2 横田流フィッティング術 70 頁 ２５のテクニック 240N3135 鏡 ディスプレイ・ ラミマーク・ 手 袋 店 除 舗 菌 プリンター・ 値 札 印,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e6%a8%aa%e7%94%b0%e6%b5%81%e3%83%95%e3%82%a3%e3%83%83%e3%83%86%e3%82%a3%e3%83%b3%e3%82%b0%e8%a1%93%e3%80%8025%e3%81%ae%e3%83%86%e3%82%af%e3%83%8b%e3%83%83%e3%82%af/ / カタログP.277 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-3,国家検定資格「眼鏡作製技能士」の誕生と眼科専門医との連携,国家検定資格「眼鏡作製技能士」の誕生と眼科専門医との連携 / 752-3 / ショップアイテム > 書籍 / 眼鏡技術者の資格制定に貢献した両氏による、 国家検定資格「眼鏡作製技能士」誕生までの10年間の活動をまとめた歴史書。 | 著者: 津田 節哉/岡本 育三,カタログP.276 / POP ラッピング エッシェン バッハ 書籍 の ぼり NEW 四六版 No.752-3 国家検定資格「眼鏡作製技能士」の誕生と 138 頁 眼科専門医との連携 著者 津田 節哉 岡本 育三 240N1200 No.752-A 科学的な眼鏡調製 著者 辻 一央 B5 版 252 頁 240N5000 No.752-B メガネは眼そのもの 著者 柳沢安夫,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e5%9b%bd%e5%ae%b6%e6%a4%9c%e5%ae%9a%e8%b3%87%e6%a0%bc%e3%80%8c%e7%9c%bc%e9%8f%a1%e4%bd%9c%e8%a3%bd%e6%8a%80%e8%83%bd%e5%a3%ab%e3%80%8d%e3%81%ae%e8%aa%95%e7%94%9f%e3%81%a8%e7%9c%bc%e7%a7%91%e5%b0%82/ / カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-A,科学的な眼鏡調製,科学的な眼鏡調整 / 752-A / ショップアイテム > 書籍 / ドイツ・アウゲン・オプティカーの辻一央先生が、眼鏡調製の要素を光学、力学、美学の3部門に分けて、詳細に解説。眼鏡調製の理解を深めるための手引書。 | 著者: 辻 一央,カタログP.276 / NEW 四六版 No.752-3 国家検定資格「眼鏡作製技能士」の誕生と 138 頁 眼科専門医との連携 著者 津田 節哉 岡本 育三 240N1200 No.752-A 科学的な眼鏡調製 著者 辻 一央 B5 版 252 頁 240N5000 No.752-B メガネは眼そのもの 著者 柳沢安夫 A5 版 160 頁 240N1111 眼鏡技術者の資格制定に貢献した両氏 による、国家検定資格「眼鏡作製技能士」,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e7%a7%91%e5%ad%a6%e7%9a%84%e3%81%aa%e7%9c%bc%e9%8f%a1%e8%aa%bf%e6%95%b4/ / カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-B,メガネは眼そのもの,メガネは眼そのもの / 752-B / ショップアイテム > 書籍 / 初心者からエキスパートまで得るところが多い好評講座。また、新入社員教育にも適切な本で、わかりやすい文章と豊富な図解で説明。 | 著者: 柳沢 安夫,カタログP.276 / No.752-A 科学的な眼鏡調製 著者 辻 一央 B5 版 252 頁 240N5000 No.752-B メガネは眼そのもの 著者 柳沢安夫 A5 版 160 頁 240N1111 眼鏡技術者の資格制定に貢献した両氏 による、国家検定資格「眼鏡作製技能士」 誕生までの 10 年間の活動をまとめた歴 史書。 ドイツ・アウゲン・オプティカーの辻一央 先生が、眼鏡調製の要素を光学、力学、 美学の 3 部門に分けて、詳細に解説。眼 鏡調製の理解を深めるための手引書。 初心者からエキスパートまで得る,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e3%83%a1%e3%82%ac%e3%83%8d%e3%81%af%e7%9c%bc%e3%81%9d%e3%81%ae%e3%82%82%e3%81%ae/ / カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-C,野矢さんの眼鏡学講座,野矢さんの眼鏡学講座 / 752-C / ショップアイテム > 書籍 / 月刊眼鏡の好評連載を単行本化。内容は基礎講座（屈折調節、眼位・眼球運動、加工他）、野矢さんの独り言、症例（近視、遠視、乱視、不同視、老視、その他の視力不良など約60症例）、Q&Aなど掲載。 | 著者: 野矢 正,カタログP.276 / 先生が、眼鏡調製の要素を光学、力学、 美学の 3 部門に分けて、詳細に解説。眼 鏡調製の理解を深めるための手引書。 初心者からエキスパートまで得る ところが多い好評講座。また、新入 社員教育にも適切な本で、わかりや すい文章と豊富な図解で説明。 B5 版 No.752-C 野矢さんの眼鏡学講座 264 頁 著者 野矢 正 240N3810 B5 版 No.752-D 野矢さんの眼鏡学講座 2 248 頁 著者 野矢 正 240N3810 B5 版 No.752-M 野矢さんの眼鏡学講座 3 127 頁 著者 野矢 正 240N3429 月刊眼鏡の好評連載を単行本化の 「野矢さんの眼鏡学講座」の続編。,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e9%87%8e%e7%9f%a2%e3%81%95%e3%82%93%e3%81%ae%e7%9c%bc%e9%8f%a1%e5%ad%a6%e8%ac%9b%e5%ba%a7/ / カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-D,野矢さんの眼鏡学講座2,野矢さんの眼鏡学講座2 / 752-D / ショップアイテム > 書籍 / 月刊眼鏡の好評連載を単行本化の「野矢さんの眼鏡学講座」の続編。 | 著者: 野矢 正,カタログP.276 / すい文章と豊富な図解で説明。 B5 版 No.752-C 野矢さんの眼鏡学講座 264 頁 著者 野矢 正 240N3810 B5 版 No.752-D 野矢さんの眼鏡学講座 2 248 頁 著者 野矢 正 240N3810 B5 版 No.752-M 野矢さんの眼鏡学講座 3 127 頁 著者 野矢 正 240N3429 月刊眼鏡の好評連載を単行本化の 「野矢さんの眼鏡学講座」の続編。 月間眼鏡の好評連載を単行本化の 『野矢さんの眼鏡学講座 1・2』の 続編。 トレー,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,https://www.san-nishimura.co.jp/product/item/%e9%87%8e%e7%9f%a2%e3%81%95%e3%82%93%e3%81%ae%e7%9c%bc%e9%8f%a1%e5%ad%a6%e8%ac%9b%e5%ba%a72/ / カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-L,基礎両眼視,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.277 / 書 276 籍 パーツ カスタマイズ No.752-L 基礎両眼視 著者 関 真司 B5 版 418 頁 240N5400 No.752-N 眼鏡用語辞典 新書版 329 頁 240N2381 No.752-S 立体視検査,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,カタログP.277 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-M,野矢さんの 眼鏡学講座3,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.276 / 著者 野矢 正 240N3810 B5 版 No.752-D 野矢さんの眼鏡学講座 2 248 頁 著者 野矢 正 240N3810 B5 版 No.752-M 野矢さんの眼鏡学講座 3 127 頁 著者 野矢 正 240N3429 月刊眼鏡の好評連載を単行本化の 「野矢さんの眼鏡学講座」の続編。 月間眼鏡の好評連載を単行本化の 『野矢さんの眼鏡学講座 1・2』の 続編。 トレー ギ フト バック （お渡し袋） 月刊眼鏡の好評連載を単行本化。内容は基礎講座 （屈折調節、眼位・眼球運動、加工他）,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-N,眼鏡用語辞典,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.277 / No.752-L 基礎両眼視 著者 関 真司 B5 版 418 頁 240N5400 No.752-N 眼鏡用語辞典 新書版 329 頁 240N2381 No.752-S 立体視検査 B5 版 109 頁 240N2857 販 売,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,カタログP.277 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-P,装用テストの実際,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.276 / ラミマーク・ 手 袋 店 除 舗 菌 B5 版 No.752-P 新版 装用テストの実際 123 頁 著者 野矢 正 240N3240 B5 版 No.752-Q 近用眼鏡処方の手順 150 頁 著者 野矢 正 240N3048 花井 護 眼鏡度数を決める最後の装用 テスト。このテストを行う目的 を、見え方の確認、違和感の実 体験、慣れる可能性の模索とし て、科学的に捕える渾身の書。 老眼鏡の度数を決める為の手引き書。,眼鏡の知識や技術を学ぶための書籍・教材です。スタッフ教育や接客前の確認に使いやすい商品です。,A book or training material for eyewear knowledge and techniques. It is useful for staff education or pre-service review.,用于学习眼镜知识和技术的书籍/教材。适合员工培训或顾客接待前复习使用。,안경 지식과 기술을 배우기 위한 서적·교재입니다. 직원 교육이나 상담 전 확인용으로 쓰기 좋습니다.,カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
752-Q,近用眼鏡処方の手順,HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,カタログP.276 / 舗 菌 B5 版 No.752-P 新版 装用テストの実際 123 頁 著者 野矢 正 240N3240 B5 版 No.752-Q 近用眼鏡処方の手順 150 頁 著者 野矢 正 240N3048 花井 護 眼鏡度数を決める最後の装用 テスト。このテストを行う目的 を、見え方の確認、違和感の実 体験、慣れる可能性の模索とし て、科学的に捕える渾身の書。 老眼鏡の度数を決める為の手引き書。 今一度自分のやり方を見直すヒントが 満載されています。 プリンター・ 値 札 印 値 札・,手元の文字や細かな作業を見やすくする近用関連商品です。度数や用途に合わせて、店頭で提案しやすい商品です。,A near-vision product for reading or close work. It is easy to recommend in store by power or use case.,用于看清近距离文字或细小作业的近用相关商品。可按度数和用途在门店推荐。,손에 가까운 글자나 세밀한 작업을 보기 쉽게 하는 근거리용 관련 상품입니다. 도수와 용도에 맞춰 매장에서 제안하기 쉽습니다.,カタログP.276 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
